Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
lemon-mint,Lemon & Mint Sparkling Mushroom Tea,"<p>Bright lemon, smooth green tea, cooling mint. Organic, non-GMO, zero added sugar, 10 calories.</p>",Wander State,Sparkling Mushroom Tea,"energy, focus, clarity, lions-mane, cordyceps, green-tea, lemon, mint",TRUE,Size,Single Can (12 oz),,386,100,deny,3.99,,TRUE,TRUE,,1,Lemon & Mint Sparkling Mushroom Tea - Single Can,Lemon & Mint Sparkling Mushroom Tea | WANDER STATE,Bright lemon and cooling mint green tea. Supports focus and clarity.,active
lemon-mint,,,,,,,,4-Pack,WS-LM-4PK,1588,100,deny,14.99,,TRUE,TRUE,,,,,,,
lemon-mint,,,,,,,,8-Pack,WS-LM-8PK,3175,50,deny,27.99,,TRUE,TRUE,,,,,,,
chamomile-blackberry,Chamomile & Blackberry Sparkling Mushroom Tea,"<p>Soft chamomile, tart blackberry, warming cinnamon. Organic, non-GMO, zero added sugar, 10 calories.</p>",Wander State,Sparkling Mushroom Tea,"calm, relaxation, stress-relief, lions-mane, reishi, chamomile, blackberry",TRUE,Size,Single Can (12 oz),,386,100,deny,3.99,,TRUE,TRUE,,1,Chamomile & Blackberry Sparkling Mushroom Tea - Single Can,Chamomile & Blackberry Sparkling Mushroom Tea | WANDER STATE,Soothing chamomile and tart blackberry tea. Supports calm and relaxation.,active
chamomile-blackberry,,,,,,,,4-Pack,WS-CB-4PK,1588,100,deny,14.99,,TRUE,TRUE,,,,,,,
chamomile-blackberry,,,,,,,,8-Pack,WS-CB-8PK,3175,50,deny,27.99,,TRUE,TRUE,,,,,,,
yuzu-cucumber,Yuzu & Cucumber Sparkling Mushroom Tea,"<p>Bright yuzu citrus, crisp cucumber, smooth black tea, subtle ginger warmth. Organic, non-GMO, zero added sugar, 10 calories.</p>",Wander State,Sparkling Mushroom Tea,"energy, endurance, focus, lions-mane, cordyceps, black-tea, yuzu, cucumber",TRUE,Size,Single Can (12 oz),,386,100,deny,3.99,,TRUE,TRUE,,1,Yuzu & Cucumber Sparkling Mushroom Tea - Single Can,Yuzu & Cucumber Sparkling Mushroom Tea | WANDER STATE,Bright yuzu and crisp cucumber black tea. Supports energy and endurance.,active
yuzu-cucumber,,,,,,,,4-Pack,WS-YC-4PK,1588,100,deny,14.99,,TRUE,TRUE,,,,,,,
yuzu-cucumber,,,,,,,,8-Pack,WS-YC-8PK,3175,50,deny,27.99,,TRUE,TRUE,,,,,,,
hibiscus-blood-orange,Hibiscus & Blood Orange Sparkling Mushroom Tea,"<p>Tangy hibiscus, bright blood orange, floral elderflower. Italian spritz inspired. Organic, non-GMO, zero added sugar, 10 calories.</p>",Wander State,Sparkling Mushroom Tea,"social, celebrations, relaxation, lions-mane, reishi, hibiscus, blood-orange",TRUE,Size,Single Can (12 oz),,386,100,deny,3.99,,TRUE,TRUE,,1,Hibiscus & Blood Orange Sparkling Mushroom Tea - Single Can,Hibiscus & Blood Orange Sparkling Mushroom Tea | WANDER STATE,Tangy hibiscus and bright blood orange tea. Italian spritz inspired.,active
hibiscus-blood-orange,,,,,,,,4-Pack,WS-HB-4PK,1588,100,deny,14.99,,TRUE,TRUE,,,,,,,
hibiscus-blood-orange,,,,,,,,8-Pack,WS-HB-8PK,3175,50,deny,27.99,,TRUE,TRUE,,,,,,,
variety-pack,Variety Pack - Sparkling Mushroom Tea,"<p>Try all four flavors. Includes Lemon & Mint, Chamomile & Blackberry, Yuzu & Cucumber, and Hibiscus & Blood Orange. Each can is organic, non-GMO, zero added sugar, 10 calories.</p>",Wander State,Sparkling Mushroom Tea,"variety, sampler, gift, all-flavors",TRUE,Size,4-Pack (1 of each),WS-VP-4PK,1588,50,deny,15.99,,TRUE,TRUE,,1,Wander State Variety Pack - All Four Flavors,Variety Pack Sparkling Mushroom Tea | WANDER STATE,Try all four Wander State flavors. Functional mushrooms meets real tea. The perfect sampler.,active
variety-pack,,,,,,,,8-Pack (2 of each),WS-VP-8PK,3175,50,deny,29.99,,TRUE,TRUE,,,,,,,
